id,prediction,label
95,0,Contradict
136,0,Contradict
59,1,Consistent
60,1,Consistent
124,0,Contradict
111,0,Contradict
135,0,Contradict
27,1,Consistent
110,0,Contradict
42,1,Consistent
56,1,Consistent
80,1,Consistent
28,1,Consistent
101,0,Contradict
91,0,Contradict
24,1,Consistent
119,0,Contradict
93,0,Contradict
72,1,Consistent
16,1,Consistent
30,1,Consistent
97,0,Contradict
22,1,Consistent
53,1,Consistent
58,1,Consistent
81,1,Consistent
47,1,Consistent
7,1,Consistent
121,0,Contradict
129,0,Contradict
51,1,Consistent
127,0,Contradict
133,0,Contradict
52,1,Consistent
114,0,Contradict
2,1,Consistent
33,1,Consistent
15,1,Consistent
82,1,Consistent
37,1,Consistent
3,1,Consistent
103,0,Contradict
94,0,Contradict
85,1,Consistent
21,1,Consistent
49,1,Consistent
140,0,Contradict
64,1,Consistent
131,0,Contradict
61,1,Consistent
86,1,Consistent
38,1,Consistent
132,0,Contradict
77,1,Consistent
70,1,Consistent
115,0,Contradict
78,1,Consistent
87,0,Contradict
75,1,Consistent
44,1,Consistent
